ano,mes,sku,conta,seller_id,status,unidades,receita,comissao,frete,custo,pedidos
2020,12,MLB1648133507,(sem conta),-100,paid,5.0,465.0,89.1,77.25,0.0,3
2020,12,MLB1690194343,(sem conta),-100,paid,1.0,69.0,12.94,9.9,0.0,1
2020,12,MLB1690198601_66460179683,(sem conta),-100,paid,1.0,119.0,13.68,15.45,0.0,1
2020,12,MLB1690213469_66461592166,(sem conta),-100,paid,1.0,849.0,140.08,15.45,0.0,1
2020,12,MLB1690226539,(sem conta),-100,paid,1.0,62.9,12.23,15.9,0.0,1
2020,12,MLB1690229845,(sem conta),-100,paid,3.0,70.5,22.05,39.7,0.0,3
2020,12,MLB1690235730,(sem conta),-100,paid,2.0,48.0,14.8,13.8,0.0,2
2020,12,MPML4550C,(sem conta),-100,cancelled,1.0,899.0,0.0,31.95,775.13,1
2020,12,MSETC,(sem conta),-100,paid,5.0,3470.0,585.36,96.75,2782.16,4
2020,12,MarineC,(sem conta),-100,paid,4.0,1504.0,248.16,61.8,1064.92,4
2020,12,NG10,(sem conta),-100,paid,3.0,87.6,34.05,34.8,61.24,2
2020,12,NG25,(sem conta),-100,paid,5.0,117.7,69.65,9.9,86.18,2
2020,12,OD200,(sem conta),-100,paid,1.0,1880.0,310.2,17.45,1332.26,1
2020,12,ODB-3,(sem conta),-100,cancelled,1.0,614.0,0.0,16.95,419.33,1
2020,12,Oxygen25IV,(sem conta),-100,paid,3.0,3297.0,544.02,65.85,2195.67,3
2020,12,P10N03FT,(sem conta),-100,paid,1.0,31.9,8.51,6.9,21.24,1
2020,12,P400,(sem conta),-100,paid,1.0,459.0,75.74,17.45,292.0,1
2020,12,PB350,(sem conta),-100,paid,8.0,9372.52,1316.23,255.6,5756.24,8
2020,12,PELT,(sem conta),-100,paid,1.0,738.0,84.87,16.95,505.38,1
2020,12,PER4,(sem conta),-100,paid,1.0,2679.0,442.04,31.95,1496.91,1
2020,12,PF13,(sem conta),-100,paid,1.0,125.5,20.71,16.95,71.88,1
2020,12,PN20FT,(sem conta),-100,paid,3.0,49.0,38.52,0.0,34.51,1
2020,12,PN30FT,(sem conta),-100,paid,5.0,186.0,74.6,22.9,130.05,3
2020,12,PROHCR20,(sem conta),-100,paid,3.0,3832.8,632.4,95.85,2351.4,3
2020,12,PX560,(sem conta),-100,cancelled,1.0,4460.0,0.0,21.95,4557.99,1
2020,12,PX560,(sem conta),-100,paid,1.0,4460.0,735.9,21.95,4557.99,1
2020,12,PX5S,(sem conta),-100,paid,1.0,4879.5,561.14,17.45,3481.4,1
2020,12,Playpp,(sem conta),-100,paid,2.0,388.4,64.08,34.9,225.72,2
2020,12,Playth,(sem conta),-100,paid,2.0,518.9,85.62,43.9,319.46,2
2020,12,Poly3,(sem conta),-100,paid,2.0,2358.0,389.08,30.9,1436.98,2
2020,12,Profx8,(sem conta),-100,paid,1.0,1900.0,285.0,31.95,1349.13,1
2020,12,Pugilist,(sem conta),-100,paid,1.0,745.5,123.01,16.95,451.71,1
2020,12,RC1,(sem conta),-100,paid,2.0,2021.0,284.91,51.35,1689.14,2
2020,12,RD200,(sem conta),-100,paid,1.0,246.0,27.06,61.24,190.0,1
2020,12,RK201C,(sem conta),-100,paid,1.0,225.0,25.88,15.45,184.0,1
2020,12,RSP210,(sem conta),-100,paid,1.0,107.0,12.3,0.0,54.09,1
2020,12,RSP212,(sem conta),-100,paid,1.0,99.5,16.42,0.0,62.99,1
2020,12,RSP214,(sem conta),-100,paid,1.0,125.5,14.43,0.0,73.36,1
2020,12,RV08SP,(sem conta),-100,paid,1.0,99.0,16.34,15.45,54.95,1
2020,12,RV10SP,(sem conta),-100,paid,2.0,219.0,36.14,50.3,136.64,2
2020,12,Rh5,(sem conta),-100,paid,1.0,469.0,51.59,16.95,218.37,1
2020,12,S80,(sem conta),-100,paid,4.0,1916.2,293.18,133.65,1397.56,4
2020,12,SFT6456N,(sem conta),-100,paid,2.0,1998.0,329.68,34.9,1757.12,2
